title,price,shipping,condition,item_url
TOUCH/NEW/Panasonic ToughBook FZ-55 Quad Core i5/8365U@1.60GHz 16GB RAM/SSD 512g,4418676.44,3069708.01,Brand New,https://www.ebay.com/itm/198427929818?_skw=laptop&itmmeta=01M146PCNNW2FVGTKWV9CDHM0Z&hash=item2e3339ecda:g:Il8AAOSwnZFkK1HX&itmprp=enc%3AAQALAAAAwGfYFPkwiKCW4ZNSs2u11xBzAInGL45jW0sK6YHU9PupOwNUXIXBUvePdkw5O%2FLZ455OUQ9ildQgnqcBwQuwTdiuVF2JMi%2FniCiiaSTcwwL8vM4mYzCr70S6Gq7%2FEYR1MNs8ypBg7OxBpeDMozYhS7pqzXAB2bCRtZuP%2Fx2gCMFjN1CXGJmkPixdywxqA7879xt3WSxJW%2BzWZZ8JoSgU3RO8WRAbB7j8j9zmq0JJKBzMMFlMm0hn6cZl9QmEeVfDpA%3D%3D%7Ctkp%3ABlBMULDL2YaJaA
"Lenovo LOQ Essential Gaming Laptop 15.6"" 144Hz i5-13450HX 16GB, 512GB, RTX 5050",3003131.99,682664.56,New (Other),https://www.ebay.com/itm/198599521710?_skw=laptop&itmmeta=01M146PCNPZZS5M8W8KXQ12TMP&hash=item2e3d7435ae:g:ENoAAeSwgW9qkKIH&itmprp=enc%3AAQALAAAAwGfYFPkwiKCW4ZNSs2u11xCt4rjt1LITLM1qjwGU0GQrjco3Aj9FjrbESCPOpew%2BVoDDWxgAbmneEwyIbR0sjISe%2FovMSP2MRop%2BuJ%2BapCPp4yyNACYU3eauANVkXgicJa1iopO77X%2FM6kMIFDs51KEaewifWZitUenZ5qC5MQFjNx%2FL9ZLCyxBYKjJysJ5QH0W8ANKiLyS7KqR9jQ663ZptAknTaV8ARrxcNDpzKbqZgWQQTqPrOw9uvxGqsHcGBg%3D%3D%7Ctkp%3ABk9SR7DL2YaJaA
"Microsoft SURFACE 3 I7-1065G7 1.30 GHZ 16 GB RAM 256 GB 13.5"" ENGLISH UK",686439.98,592869.63,Refurbished,https://www.ebay.com/itm/366299569117?_skw=laptop&itmmeta=01M146PCNP8FXE2E5M0BS52D00&hash=item554927dbdd:g:YDIAAeSwE9dpwk19&itmprp=enc%3AAQALAAAAwGfYFPkwiKCW4ZNSs2u11xAl9wzIu%2BG3U7bTPMYY6igzG57sy3FPzfN8ChI9Gz8MQgJpcuFYQ0c%2B3BEfJukxRC8jM1DSTfDj%2BJjS9zB7VlQJ4x3Z7eRbD%2Bzw8xOlXYmzuco9i0LH5t%2BrMZibvmgN0EbklxX2kwDUK2m2BhpzLH1CtrPZyifVpvXzqlyNN4u249abVCOFTjTXfUyQFv32CQNVA6F8hvHh%2BOHfQb0a4niLEYmqxrT1qRwbk9WSw6yMQw%3D%3D%7Ctkp%3ABk9SR7DL2YaJaA
Lenovo ThinkPad x13 G3 | Ryzen 5 Pro WUXGA | QWERTY | WARRANTY & INVOICE,1283602.16,220676.59,Pre-Owned,https://www.ebay.com/itm/168645679494?_skw=laptop&itmmeta=01M146PCP7JME06PHAF6R6EE7A&hash=item274410d986:g:9AoAAeSwLwBqHr1e&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xD5vIUyhrP8NukCYes2dVieOdkufhkfkhwHibuSooDSacraEFaG59%2B6edqT2FWq4%2B0Cblhhw%2BW4n7qpIMSnn50%2Bu9ehNOPz%2FF%2FTz8kzMV3HvH8UbYaDBibccdcgxa3nfO5yBElCXMo3p%2B8jmSyLDME3kadcv3%2B82vLwEcypx%2B9sJrclEyRXFIWoDEpm3nX4ToLH0Bxpq%2BUtJXDZD24F14GU%2FupbKmIiFdsEjRYW%2FLjrbIiiRuP2rq%2BOtniCrgQFLs7U9jjSjWw3ZQ%2F3kaSjH48F%7Ctkp%3ABk9SR7LL2YaJaA
Dell Precision 7770 17.3″ In Laptop 128GB DDR5 NVIDIA RTX A4500 16GB 2TB SSD i9,8035637.96,1175742.97,Not Specified,https://www.ebay.com/itm/298623440643?_skw=laptop&itmmeta=01M146PCQ8BCBD56JG4KT5E0Y7&hash=item4587581703:g:Q9YAAeSwo5FqgvcD&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xANwrtVg4VMPAhtjhTXkjarnQebPkh6kgNXhj8MzePGYaNIuv7zyb8FkGJ7or7D9OhPLcGsICPcUM4NvuJ515zwWCmwKYX3rwJeIIX2EUa8GQ2KeOFkJwVNVZG%2BLo%2B7BdXb2wsb5ZIjHcDj4Vzrb%2BWfX58aZJvzWpbTGg01T8ynPJZBEXLmfwq2Niys7oUpc64mQEWZkfFcKuvocA25E8FaNKYZMAAEdFmZzMDBpMCLsR7t4uEDiyXhfw3EhTch8y0Nk6VZJOCuBuTm769qd1unn6IlcoGhr2C%2BbpUPbf8w1w%3D%3D%7Ctkp%3ABFBMkszZholo
HP EliteBook 840 G6 Laptop i5 8250U 16GB 512GB SSD 14″ Windows 11 Refurbished,1072519.56,0.0,Not Specified,https://www.ebay.com/itm/227034624693?_skw=laptop&itmmeta=01M146PCQ8R194SE9S8GPEVTVE&hash=item34dc5172b5:g:DPMAAeSw8fBqXiPa&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xDSITgA5rGbkMaakNM51Opn%2BSwqawHO7mVRdqPPUWMK1PxPyXaA2RbvHhmjAbaHCBNvq3Teh6DSZqNO%2BViV%2BHUSwIv9T3YnctNXKKLpYzZemJW1aBdR6b4qT2v%2Bwb4jFLWRYlO9KoOBSARyVG4%2BzzGsKtz9%2F5HDfJNDrZ3vk3xcW8A2ERGx6SncinvNdQoQ4wLg2CVqMK9U%2Fam0ZmEpCX3XoUR0Lj2d7M46vdvgvGHcpOEUVlJqQQkicPVAXgDgDmQ5CvAQ%2BgNizYR9t12v70dU%7Ctkp%3ABFBMlMzZholo
"Lenovo Thinkpad T480s Core i5-8250U 16GB 256GB SSD 14"" FHD Winl1 Fast Laptop",772202.07,425335.37,Pre-Owned,https://www.ebay.com/itm/377412202140?_skw=laptop&itmmeta=01M146PCP8ZNYC1ZXWRQ05HJ5V&hash=item57df852e9c:g:8rgAAeSwj0VqfD9-&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xAriZegAtkR7tcCCld6FoUy2mrjwH%2BdG1F%2B8YdO5%2BLI3G4oAswsuS0K5AkBp9BuZ%2BS%2FTRbhdQ%2F92zlNQmA5d2D4vMQSzSOhHKtoO8DbEpP%2BDhlxZqGosd6a3vPLqHStfqEPotUSxE9Bzo0%2Fy2F0Y1hDKfOr%2BMXK2bsFZ9%2BkS5YG3vFWRCWuTzGWO05ycfoDKNJDWwa5NFQB9b9bEexb40q3E4sztA5yphBkRIav%2BvZuZ2Ye6caQpSfbDo2rWwz68QhDLfsauYph2G0FtHtuaRUP%7Ctkp%3ABk9SR7LL2YaJaA
Lenovo ThinkPad  FHD Core i5 8TH Gen 64 GB Ram 2TB  SSD Windows 11 Laptop,858007.07,433143.62,Refurbished,https://www.ebay.com/itm/116536386298?_skw=laptop&itmmeta=01M146PCP8BQ19PV570VK2EW0Z&hash=item1b221c22fa:g:9I4AAeSwPL5p3C-W&itmprp=enc%3AAQALAAAAwGfYFPkwiKCW4ZNSs2u11xA4jSXxew1cMGHpjE6aFmSnQYBXyZusdw%2FLeXD6UdZkk%2BPeNuM60GyOsxnXQsJGMw2QfX6DABZOjqscR2ZggAS4v94REsinrYaYNdV2vI4QimMyP58rTM2zCUB0MnKzexFg91FFmTiu0%2FtaWu1fjQQfZUZ8iS98IGlRG3TZeqOo2LC9XCyyTSH4FQA6wcbYwPF1%2F9SJfvslTrgm5aJxrLJMbSMFV7sLSRuh44%2F6KLzWIA%3D%3D%7Ctkp%3ABk9SR7LL2YaJaA
PANASONIC TOUGHBOOK CF-19  CORE i5 4GB RAM 128GB SSD TOUCH WIN10 PRO,643494.57,214512.49,Some Port Covers Missing,https://www.ebay.com/itm/137387381857?_skw=laptop&itmmeta=01M146PCP899EHNQ6WC0QKP0PR&hash=item1ffced1461:g:t7UAAeSweKtqJPAd&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xChPMs%2FfbAldhbaKU89Cy21gRlodXw42PBr3pQpyW4z7ck0M8%2BBypCF%2F8VHatCM7GF1jihbR8hyMYgHZQvwTm%2Fww%2F6DGkQ4KAzS7ByvmSdnAy3%2FpxGw6uMZziFvnJ52qxXm1vzTgvRDRHfeMafN8SbzWRoYhQ1%2BKow%2BNoL6vAPd%2FpaZZ7xbnkY6dqndXEnWlmqvqyiOiOH%2FtXJwJFQ7LZiMG6%2BZRAciOYZ6xNLahiQ88tuR%2BhXX3VLgBCSiMHnVwELIqTsxSNiN%2B4V1I4oZc183%7Ctkp%3ABk9SR7LL2YaJaA
"Lenovo LOQ 15IRX9, 15.6′′, i7-13650HX, 24GB/1TB, RTX 4060, QWERTY, Battery 95%,",2758420.6,202544.33,Pre-Owned,https://www.ebay.com/itm/137643255509?_skw=laptop&itmmeta=01M146PCP8MKD5W9D9M4V4QE9D&hash=item200c2d66d5:g:vbcAAeSwu7ZqkUC2&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xDIAnHef4O%2FCl%2BXcBaO2%2B9g4hdxKy1wIbDcYLIj9EAgE7DAsBcAskuBfyqHZFVa9VIOyZ5h0j1HFveMOPHyrzjnbiKmf%2FVddghcpFMoMvKQmwVbeU6v2P%2Bfyy2nKzEkeHhQSdVP6Eb1NEOrhsGy2PnucM2Z37sQelQVBbd6RLAbakKDJ%2Ft5nUucip01p5XJlO%2FbBzUEm3Ivuqu8f%2FAJQDnoFfTev71Ad95n%2FkvRcSFwzonyhcmI3cAMO2q2LIjB4i%2FdQQLUNovncS6M7jeP%2F4lI%7Ctkp%3ABk9SR7LL2YaJaA
