title,price,shipping,condition,item_url
TOUCH/NEW/Panasonic ToughBook FZ-55 Quad Core i5/8365U@1.60GHz 16GB RAM/SSD 512g,4418676.44,3069708.01,Brand New,https://www.ebay.com/itm/198427929818?_skw=laptop&itmmeta=01M146PCNNW2FVGTKWV9CDHM0Z&hash=item2e3339ecda:g:Il8AAOSwnZFkK1HX&itmprp=enc%3AAQALAAAAwGfYFPkwiKCW4ZNSs2u11xBzAInGL45jW0sK6YHU9PupOwNUXIXBUvePdkw5O%2FLZ455OUQ9ildQgnqcBwQuwTdiuVF2JMi%2FniCiiaSTcwwL8vM4mYzCr70S6Gq7%2FEYR1MNs8ypBg7OxBpeDMozYhS7pqzXAB2bCRtZuP%2Fx2gCMFjN1CXGJmkPixdywxqA7879xt3WSxJW%2BzWZZ8JoSgU3RO8WRAbB7j8j9zmq0JJKBzMMFlMm0hn6cZl9QmEeVfDpA%3D%3D%7Ctkp%3ABlBMULDL2YaJaA
2tb/32gb/TOUCH FZ-55 mk3 PANSONIC TOUGHBOOK FZ55 WINdows 11 CORE I5-1345U Rugged,9468628.44,580271.05,Brand New,https://www.ebay.com/itm/127703642398?_skw=laptop&itmmeta=01M146PCNPH6M9F6F45RGE54YG&hash=item1dbbbaf11e:g:kfQAAOSwVcZmxGD2&itmprp=enc%3AAQALAAAAwGfYFPkwiKCW4ZNSs2u11xCL8WF4pBahf2FdAoIBmJeJrUEWqdZQKM3wS0%2BjqpyYeQTiFbDf698WQbVF%2F27ZCkwIg0I3jKAl223zMZBTW%2Fy43or56Cb5troDczgDopDXTRITKmtg3zSTm6XATqKhkRMutS3SNm1XFyypY8UTkVPz4QRbLzTnZuUNPOca1mtV4DXGkM1NFNNRjIHTcFclzhfBj0TTo7T5E%2FK97iiXQ6kaoNr6Ub1qIWmvYSytqysTQw%3D%3D%7Ctkp%3ABlBMULDL2YaJaA
"Karaoke System 232,000 songs-Dell Latitude Laptop 11.6” 8GB RAM 128GB SSD Intel",1417142.78,322407.87,Pre-Owned,https://www.ebay.com/itm/257355644448?_skw=laptop&itmmeta=01M146PCNPCZEYX2VZAM3CP4GE&hash=item3beb977e20:g:pocAAeSwVR1pjLna&itmprp=enc%3AAQALAAAAwGfYFPkwiKCW4ZNSs2u11xAti4JTEr0EK%2B7opoem%2FxdsFI6%2FbhU%2BpRRvZ2ix5BEtCSSAA1DJ6xHCq3ZsWvIR8gGN7rF2ydnAQxC5sLtn%2FadheUgZj7rsMmgdRyZoQOnPYYEcQwn7Q9ABpcgbYc3RDTrnzV1uz%2FZTf0xLJuO6KUj4a98T3S1PclpHeqHqyMQgD1NLtTEEBo8IVLkHBndIPTy7D6vZR20kqINhhB%2FvDigceZmiXiRRBi62m2jI33dcFQ%3D%3D%7Ctkp%3ABlBMULDL2YaJaA
Dell Precision 7770 17.3″ In Laptop 128GB DDR5 NVIDIA RTX A4500 16GB 2TB SSD i9,8035637.96,1175742.97,Pre-Owned,https://www.ebay.com/itm/298623440643?_skw=laptop&itmmeta=01M146PCNPHVJ5NJBP9EN21RFJ&hash=item4587581703:g:Q9YAAeSwo5FqgvcD&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xANwrtVg4VMPAhtjhTXkjarnQebPkh6kgNXhj8MzePGYaNIuv7zyb8FkGJ7or7D9OhPLcGsICPcUM4NvuJ515zwWCmwKYX3rwJeIIX2EUa8GQ2KeOFkJwVNVZG%2BLo%2B7BdVpFFWSJT0RwTPycLNqiDRS9L40LhyrFHKJQlcWrjHU7C85FTIUwX6sRzNlXvuHOdyaR%2FOHe4DovbJpwIyWEckjw85wDXSJ%2BeC%2FDrRd1CKf9Hk0bzEcsbEfz5sMrPLIJw5XLgo92k%2BMzmupH6lqEL3W%7Ctkp%3ABFBMsMvZholo
"Lenovo ThinkPad T14 Gen 1 Core i5-10310U @1.70GHz, 16GB RAM , 256GB SSD",710117.94,315622.0,Pre-Owned,https://www.ebay.com/itm/298583199831?_skw=laptop&itmmeta=01M146PCNP5CWSGVQ9RWXPEKM3&hash=item4584f21057:g:hC8AAeSwSKxqfQJc&itmprp=enc%3AAQALAAAAwGfYFPkwiKCW4ZNSs2u11xA6dcQ9oFi%2BueL%2BYQCWpOq%2BhTBADgeS7boC8L%2B1UgbcN9zsQEfmV8rUsL8P6kAeG3pHSwxYB%2FO5G0L1FOYEDOAiIrNG8a49M8kJgJwpLCKIHdSvgQENGHQDrIo321uzPuYWCBBbIdimXJw0dhzppSxE6usb54DAu0SUD0vVFihoQfvgCoiVzCdJIg9qm5GIYH%2BynplD%2BVTzFwsBT1ROOcpxIbkfuGECSb85XuFHGL7bUw%3D%3D%7Ctkp%3ABk9SR7DL2YaJaA
Notebook,169707.5,42426.87,New (Other),https://www.ebay.com/itm/800574996258?_skw=laptop&itmmeta=01M146PCNPHTF4X8MC3M4V4KST&hash=itemba65fcff22:g:g58AAeSwkhFqkSaQ&itmprp=enc%3AAQALAAAAwGfYFPkwiKCW4ZNSs2u11xAnqf0yJDRYr5a3ZzkYiL56fwK4GDiGzK8fsrE91aMBjcO%2FXPvjbyyWEqvzCiDbhwP%2FWMJ0ME5NdxckVLOLErI3SD%2BacclUtMvqKDySGEmcSrXgkFNkr7R4gnCzRgW9ztOoQwJ4tmTqjxG9ttXi7Aaj2HiQjNTu3%2FcWAs8%2BTyJYTQaaBAIRmZ%2FvLZylWB3S%2FNB27tD4i4GUiF6u0HIfTLaxtDk52DI8cOLaqABp0qeNqA%3D%3D%7Ctkp%3ABk9SR7DL2YaJaA
HP Elitebook 840 G7  i7-10510U 1.8GHz 16 GB RAM 512 GB SSD Laptop,789023.44,893304.95,Pre-Owned,https://www.ebay.com/itm/306650664029?_skw=laptop&itmmeta=01M146PCNP617EMJXH3A5XT7TG&hash=item4765cdcc5d:g:g7MAAeSwPYppOL9j&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xDmNz0XRBTxZFWAPZpvMVJOprfH%2FgoBiwDUiw2kSQMYpsLWh9L8EEHCjw%2BAwbTu5BpPcEkjsfKpKaBGgoZkcim4FEKCjHbQ9vxbMhgD6cSqG8wZcXEgwsWXzXuaJoawDNERXxUFLjn9TjbGDElW9EBz5npQQMWAjApJgJNv0asrTWNKdyKRgzsnflnmjgxoquM10nlpN7bNKD4hvSXtzBeBZeL9TBo2MiX%2BqnnYvmcMT7ogTvU9fxI02mmUEDD%2BspwU5KFx8g%2Bhi2282kDJZEX%2F%7Ctkp%3ABk9SR7DL2YaJaA
"Lenovo LOQ Essential Gaming Laptop 15.6"" 144Hz i5-13450HX 16GB, 512GB, RTX 5050",3003131.99,682664.56,New (Other),https://www.ebay.com/itm/198599521710?_skw=laptop&itmmeta=01M146PCNPZZS5M8W8KXQ12TMP&hash=item2e3d7435ae:g:ENoAAeSwgW9qkKIH&itmprp=enc%3AAQALAAAAwGfYFPkwiKCW4ZNSs2u11xCt4rjt1LITLM1qjwGU0GQrjco3Aj9FjrbESCPOpew%2BVoDDWxgAbmneEwyIbR0sjISe%2FovMSP2MRop%2BuJ%2BapCPp4yyNACYU3eauANVkXgicJa1iopO77X%2FM6kMIFDs51KEaewifWZitUenZ5qC5MQFjNx%2FL9ZLCyxBYKjJysJ5QH0W8ANKiLyS7KqR9jQ663ZptAknTaV8ARrxcNDpzKbqZgWQQTqPrOw9uvxGqsHcGBg%3D%3D%7Ctkp%3ABk9SR7DL2YaJaA
"Microsoft SURFACE 3 I7-1065G7 1.30 GHZ 16 GB RAM 256 GB 13.5"" ENGLISH UK",686439.98,592869.63,Refurbished,https://www.ebay.com/itm/366299569117?_skw=laptop&itmmeta=01M146PCNP8FXE2E5M0BS52D00&hash=item554927dbdd:g:YDIAAeSwE9dpwk19&itmprp=enc%3AAQALAAAAwGfYFPkwiKCW4ZNSs2u11xAl9wzIu%2BG3U7bTPMYY6igzG57sy3FPzfN8ChI9Gz8MQgJpcuFYQ0c%2B3BEfJukxRC8jM1DSTfDj%2BJjS9zB7VlQJ4x3Z7eRbD%2Bzw8xOlXYmzuco9i0LH5t%2BrMZibvmgN0EbklxX2kwDUK2m2BhpzLH1CtrPZyifVpvXzqlyNN4u249abVCOFTjTXfUyQFv32CQNVA6F8hvHh%2BOHfQb0a4niLEYmqxrT1qRwbk9WSw6yMQw%3D%3D%7Ctkp%3ABk9SR7DL2YaJaA
"14.1"" Windows 11 Laptop 4GB RAM 128GB FHD USB-C Fusion5 A90B+ Pro 2025",455581.63,388696.64,Pre-Owned,https://www.ebay.com/itm/257323995051?_skw=laptop&itmmeta=01M146PCNP5Y12NSQPDZAKC0VZ&hash=item3be9b48fab:g:~bwAAeSw7qFpjfCE&itmprp=enc%3AAQALAAAAwGfYFPkwiKCW4ZNSs2u11xDngUeERdU1vTpyBjSm2uBkUPd85ArKauShTf6jZ9ie%2B%2Fhi%2Bw%2B9%2BeUxm8oWwVUc8ruQIoBJS%2Fhe2Z6nKPDcCaz9X0Cx408uGDoo87dmXuePkRFxejthH%2B5SKOhCKd7YfPMeuLzEm5iZ%2F5YEgB2njGyJKaTmN7r0NpZKYYyDhSXHOdtDChVLLARgO0%2FZzsP%2BptoPg0mClWl%2F2syAc6wJYvpOUi6JSmK7QYK98%2Bno9XDlCA%3D%3D%7Ctkp%3ABk9SR7DL2YaJaA
